Nome: C.R.V.G, Idade: 82, Data: 2015_6_29_13:40:34
button, timeStamp, view
B,11.348,1
Next,12.59,1
Next,13.986,2
B,16.175,3
C,18.039,3
Back,20.043,3
B,21.523,2
C,22.254,2
B,23.938,2
Back,25.282,2
Next,27.468,1
Next,28.404,2
Next,30.468,3
C,32.104,4
Next,32.706,4
A,34.858,5
Next,35.64,5
B,73.988,6
Next,75.205,6
C,79.242,7
Next,80.051,7
A,87.438,8
Next,88.209,8
B,89.447,9
Next,90.22,9
A,91.688,10
Next,92.355,10
B,93.746,11
Next,94.467,11
C,95.964,12
Next,96.646,12
A,97.96,13
Next,98.665,13
B,99.826,14
Next,100.547,14
B,102.466,15
Next,103.136,15
B,104.054,16
Next,105.659,16
A,106.55,17
B,108.981,17
C,109.905,17
Next,110.65,17
C,112.674,18
Next,113.272,18
B,115.494,19
Next,116.196,19
A,119.462,20
