Nome: Aluno3, Idade: 15, Data: 2015_6_29_22_39_40
button, timeStamp, view
B,0.808,1
Next,1.058,1
Next,1.242,2
Next,1.631,3
Next,1.892,4
Next,2.088,5
A,2.855,6
Back,3.249,6
Back,3.458,5
B,4.155,4
Next,4.524,4
Back,5.02,5
Back,5.2,4
A,6.05,3
Back,6.672,3
B,7.499,2
Back,8.095,2
Next,8.655,1
Next,8.843,2
Next,9.207,3
Next,9.374,4
Next,9.561,5
Next,10.514,6
Next,11.587,7
Next,11.753,8
Next,11.902,9
Next,12.069,10
C,12.862,11
Back,13.08,11
Back,13.294,10
Back,13.73,9
Back,13.982,8
B,14.818,7
Back,15.201,7
Next,15.865,6
Next,16.764,7
B,17.588,8
Next,17.89,8
Next,18.067,9
B,18.854,10
Next,19.085,10
Next,19.277,11
B,20.031,12
A,21.057,12
Next,21.271,12
B,21.872,13
Next,22.419,13
B,23.061,14
Next,23.307,14
Next,23.47,15
Next,23.643,16
Next,23.84,17
B,24.598,18
Next,24.827,18
Next,25.066,19
B,26.534,20
Back,26.839,20
Back,27.002,19
Back,27.156,18
Back,27.434,17
Back,27.583,16
B,28.192,15
Back,28.536,15
Back,28.695,14
Back,29.215,13
Back,29.423,12
Next,30.43,11
Next,30.593,12
Next,30.76,13
Next,30.933,14
Next,31.096,15
Next,31.625,16
Back,32.143,17
Next,32.803,16
B,33.327,17
Back,33.601,17
B,34.09,16
Next,34.346,16
Next,35.067,17
Next,35.745,18
Next,35.932,19
Back,37.172,20
Back,37.322,19
Back,37.475,18
Back,37.607,17
Back,37.76,16
Back,37.902,15
Back,38.055,14
Next,38.234,13
Back,38.431,14
Next,38.615,13
Back,39.117,14
Next,39.376,13
Back,39.523,14
Next,39.789,13
Back,39.959,14
Next,40.123,13
Next,40.27,14
Next,40.933,15
Back,41.543,16
Back,42.088,15
Back,42.438,14
Back,42.873,13
Back,43.278,12
Back,43.826,11
Back,44.555,10
Back,45.084,9
Next,45.729,8
A,46.387,9
Back,47.371,9
Back,48.045,8
Back,49.313,7
Next,50.124,6
Next,50.617,7
Next,50.77,8
Next,50.911,9
Next,51.087,10
Next,51.251,11
Next,51.43,12
Next,51.612,13
Next,51.776,14
Next,51.931,15
Next,52.258,16
Next,52.412,17
Next,52.576,18
Next,52.739,19
Back,54.024,20
Back,54.194,19
Back,54.343,18
Back,54.526,17
Back,54.69,16
Back,54.862,15
Back,55.065,14
Back,55.249,13
Back,55.42,12
Back,55.601,11
Back,55.748,10
Back,55.913,9
Back,56.089,8
Next,56.329,7
Back,56.91,8
Back,57.368,7
Back,57.961,6
A,59.983,5
Back,60.45,5
Back,61.84,4
Back,62.824,3
Back,63.786,2
Next,64.935,1
Next,65.077,2
Next,65.209,3
Next,65.351,4
Next,65.499,5
Next,65.668,6
Next,65.822,7
Next,66.013,8
Next,66.202,9
Next,66.393,10
Next,66.526,11
Next,66.697,12
Next,66.86,13
Next,67.015,14
Next,67.179,15
Next,67.343,16
Next,67.519,17
Next,67.686,18
Next,67.999,19
Back,69.487,20
Back,70.002,19
Next,71.162,18
C,71.759,19
Next,72.14,19
