Nome: Asd, Idade: 19, Data: 2015_6_29_22_11_2
button, timeStamp, view
B,1.005,1
Next,1.58,1
Next,2.205,2
Next,2.359,3
Next,2.663,4
A,3.574,5
Back,4.175,5
A,4.764,4
Next,5.217,4
Next,5.367,5
Next,5.544,6
Next,5.684,7
Back,6.976,8
B,7.947,7
Next,8.415,7
Next,8.581,8
Next,8.728,9
Next,8.862,10
Next,9.026,11
B,9.586,12
Next,10.162,12
Next,10.328,13
Next,10.49,14
Next,10.651,15
Next,10.808,16
Next,10.971,17
Next,11.103,18
B,11.923,19
Next,12.603,19
A,13.712,20
Back,14.126,20
Back,14.75,19
Back,14.942,18
Back,15.109,17
Back,15.257,16
Back,15.429,15
Back,15.591,14
Back,15.756,13
Back,16.191,12
Back,16.316,11
Back,16.467,10
Back,16.599,9
Back,16.698,8
Back,16.85,7
Back,17.028,6
Back,17.232,5
Back,17.41,4
Back,17.542,3
Back,18.167,2
