Nome: Gw, Idade: 19, Data: 2015_6_29_22_34_11
button, timeStamp, view
Next,0.754,1
Next,0.994,2
Next,1.135,3
B,1.683,4
Next,2.527,4
C,3.052,5
B,3.687,5
A,4.0,5
Next,4.172,5
Next,4.507,6
Next,4.67,7
A,5.44,8
Back,6.305,8
Back,6.464,7
Back,6.853,6
Back,7.657,5
B,8.425,4
A,8.992,4
Back,9.857,4
A,10.557,3
Back,10.944,3
Back,11.686,2
B,12.549,1
Next,12.784,1
B,14.103,2
Next,14.342,2
Next,15.089,3
Next,15.23,4
Next,15.53,5
Next,15.677,6
Next,15.845,7
Next,16.019,8
Next,16.226,9
B,16.885,10
Back,17.319,10
Back,17.822,9
Next,18.708,8
B,19.246,9
Next,19.728,9
Next,19.904,10
Next,20.053,11
Next,20.306,12
Next,20.464,13
Next,20.674,14
A,21.105,15
Next,21.378,15
Next,21.553,16
Next,21.729,17
A,22.545,18
Next,22.915,18
Next,23.094,19
B,23.886,20
Back,24.08,20
Back,24.244,19
Back,24.4,18
Back,24.571,17
Back,24.736,16
Back,24.9,15
Back,25.048,14
Back,25.197,13
B,26.038,12
Back,26.354,12
Back,26.856,11
Back,27.043,10
Back,28.139,9
Back,28.676,8
B,30.25,7
Next,31.115,7
Next,31.293,8
Next,31.467,9
Next,31.623,10
Next,32.165,11
Back,32.601,12
B,33.149,11
Next,33.457,11
Next,33.608,12
Next,33.772,13
Next,33.94,14
Back,34.505,15
B,35.134,14
Next,35.561,14
Next,35.763,15
B,36.55,16
Next,36.836,16
Next,37.011,17
Next,37.911,18
Back,38.335,19
Back,38.564,18
B,39.648,17
Next,39.873,17
Next,40.044,18
Next,40.34,19
Back,41.29,20
B,42.132,19
Next,42.996,19
Back,44.685,20
Back,44.846,19
Back,45.001,18
Back,45.216,17
Back,45.364,16
Back,45.534,15
Back,46.059,14
Back,46.543,13
Next,47.232,12
B,47.783,13
Back,48.2,13
Back,48.62,12
Back,49.323,11
Back,49.855,10
Back,50.491,9
Next,51.356,8
Next,51.53,9
Next,51.694,10
Next,51.957,11
Next,52.154,12
Next,52.334,13
Next,52.466,14
Next,52.634,15
Next,52.801,16
Next,52.952,17
Next,53.129,18
Next,53.296,19
Back,54.462,20
Back,54.637,19
Back,54.804,18
Back,54.951,17
Back,55.102,16
Back,55.283,15
Back,55.479,14
Back,55.662,13
Back,55.83,12
Back,56.017,11
Back,56.214,10
Back,56.425,9
Back,56.675,8
Back,57.276,7
Back,57.788,6
Next,58.436,5
A,59.053,6
Next,59.265,6
Next,59.435,7
Next,59.593,8
Next,59.735,9
Next,59.903,10
Next,60.052,11
Next,60.201,12
Next,60.372,13
Next,60.548,14
Next,60.884,15
Next,61.065,16
Next,61.202,17
Next,61.674,18
Next,62.12,19
