Nome: P, Idade: 21, Data: 2015_6_29_22_17_11
button, timeStamp, view
Next,1.022,1
Next,1.196,2
Next,1.354,3
Next,1.644,4
Next,2.268,5
Next,2.443,6
Next,2.599,7
Next,2.77,8
Next,2.914,9
Next,3.08,10
Next,3.361,11
A,4.072,12
Next,4.604,12
A,5.21,13
Next,5.793,13
Next,5.943,14
Next,6.092,15
B,6.843,16
Next,7.119,16
Next,7.289,17
A,8.143,18
Next,8.484,18
Next,9.123,19
A,9.784,20
Back,11.744,20
Back,11.909,19
Back,12.054,18
Back,12.292,17
Back,12.446,16
Back,12.64,15
Back,13.018,14
Back,13.189,13
Back,13.803,12
Back,13.999,11
Back,14.415,10
Back,14.656,9
Back,14.894,8
B,15.729,7
Back,16.406,7
Back,16.57,6
Back,16.763,5
Back,16.938,4
Back,17.109,3
B,18.626,2
Next,19.134,2
B,20.152,3
A,21.278,3
Back,21.769,3
Back,22.11,2
B,24.359,1
A,25.786,1
Next,26.201,1
Next,26.353,2
Next,26.538,3
Next,26.823,4
Next,27.13,5
Back,27.605,6
Next,28.246,5
B,28.948,6
A,29.309,6
Back,29.864,6
A,30.676,5
Back,31.101,5
B,32.196,4
Back,32.766,4
Next,33.403,3
Next,33.607,4
Next,33.805,5
Next,34.252,6
Next,35.765,7
B,36.989,8
Next,37.886,8
Next,38.619,9
Back,39.155,10
Next,40.578,9
Next,40.741,10
B,41.744,11
Back,42.1,11
B,42.79,10
Back,43.128,10
Back,43.356,9
Next,44.375,8
B,45.221,9
Next,45.623,9
Next,45.797,10
Next,45.972,11
Next,46.138,12
Next,46.289,13
Next,46.487,14
A,47.287,15
Next,47.571,15
Next,47.763,16
Next,48.394,17
Back,48.85,18
B,49.564,17
Next,50.471,17
Next,50.963,18
Next,51.634,19
Back,52.329,20
B,53.056,19
Next,53.469,19
Back,55.189,20
Back,55.384,19
Back,55.533,18
Back,55.701,17
Back,55.878,16
Back,56.085,15
Back,56.605,14
Next,57.233,13
B,57.934,14
Next,58.175,14
Next,58.329,15
Next,58.512,16
Next,58.669,17
Next,58.809,18
Next,59.073,19
