Nome: Q, Idade: 15, Data: 2015_6_29_22_15_5
button, timeStamp, view
Next,0.982,1
Next,1.122,2
Next,1.412,3
Next,1.547,4
Next,1.702,5
Next,1.889,6
Next,2.078,7
Next,2.227,8
Next,2.435,9
Next,2.607,10
Next,3.092,11
A,3.717,12
Back,4.057,12
B,4.646,11
Back,4.981,11
B,5.653,10
Back,5.908,10
B,6.453,9
Back,6.802,9
B,7.414,8
Back,7.794,8
A,8.433,7
Back,8.795,7
B,9.363,6
Back,9.758,6
A,10.375,5
Back,10.931,5
C,11.552,4
Back,12.068,4
A,12.745,3
Back,13.196,3
B,14.173,2
Back,14.694,2
B,15.411,1
Next,16.152,1
Next,16.324,2
Next,17.051,3
Next,17.199,4
Next,17.381,5
Next,17.517,6
Next,17.727,7
Next,17.897,8
Next,18.076,9
Next,18.25,10
Next,18.439,11
Next,18.643,12
Next,18.82,13
Next,19.017,14
Next,19.199,15
Back,19.749,16
Back,19.925,15
Back,20.091,14
Back,20.559,13
Next,21.383,12
B,22.08,13
Next,22.413,13
B,23.058,14
Next,23.385,14
Next,23.538,15
Next,23.721,16
Next,23.876,17
B,24.609,18
Back,25.069,18
Back,25.494,17
Back,26.14,16
Back,26.852,15
Next,27.497,14
B,28.189,15
Next,28.514,15
B,29.206,16
Next,29.504,16
Next,30.134,17
Back,31.153,18
B,31.699,17
Next,32.117,17
Next,32.319,18
Next,32.881,19
B,33.87,20
Back,34.193,20
Back,34.504,19
Next,35.552,18
Next,35.803,19
Back,37.962,20
Back,38.583,19
Next,39.075,18
B,39.65,19
Back,40.12,19
Back,40.652,18
Back,41.309,17
Back,41.876,16
Back,42.251,15
Back,42.743,14
Next,43.431,13
Next,43.596,14
Next,43.777,15
Next,43.912,16
Next,44.09,17
Next,44.439,18
Next,44.614,19
