Nome: Tester, Idade: 19, Data: 2015_6_29_19_21_40
button, timeStamp, view
B,1.079,1
C,3.915,1
Next,4.396,1
B,5.498,2
Next,6.096,2
A,7.735,3
A,8.528,3
C,9.391,3
A,10.385,3
Next,10.8,3
B,11.653,4
Next,12.034,4
A,12.899,5
Next,13.303,5
A,14.211,6
Next,15.19,6
B,16.17,7
Next,16.518,7
B,17.843,8
Next,18.282,8
A,19.326,9
B,19.864,9
Next,20.337,9
C,21.143,10
B,24.109,10
Next,24.686,10
B,25.613,11
A,28.696,11
C,29.433,11
Next,29.876,11
A,30.992,12
Next,31.348,12
B,32.118,13
Next,32.611,13
B,33.329,14
Next,33.782,14
B,34.319,15
Next,34.646,15
C,35.168,16
Next,35.545,16
A,36.034,17
Next,36.416,17
B,36.958,18
Next,37.334,18
A,37.882,19
Next,38.261,19
B,38.833,20
