Nome: Y, Idade: 21, Data: 2015_6_29_22_21_52
button, timeStamp, view
Next,104.656,1
Next,104.868,2
A,105.782,3
Back,106.986,3
Back,107.196,2
B,107.936,1
Next,108.574,1
B,109.191,2
Next,109.712,2
Next,109.924,3
Next,110.096,4
Next,110.282,5
Next,110.444,6
B,111.228,7
Back,112.001,7
A,113.219,6
Back,113.732,6
B,114.492,5
A,115.538,5
Back,116.191,5
B,117.276,4
Back,117.812,4
Next,118.512,3
Next,118.685,4
Next,118.85,5
Next,119.027,6
Next,120.12,7
Next,120.31,8
Next,120.547,9
Next,120.733,10
Next,120.923,11
Next,121.088,12
Next,121.27,13
Next,121.438,14
B,122.029,15
Back,122.591,15
B,123.32,14
Back,123.843,14
B,124.528,13
Next,125.057,13
Next,125.517,14
Next,125.771,15
Next,125.995,16
A,126.615,17
Next,127.07,17
Next,127.606,18
B,128.22,19
Next,128.688,19
C,129.449,20
Back,130.11,20
Next,131.096,19
Back,132.628,20
Back,132.865,19
Back,133.373,18
Next,134.521,17
A,135.258,18
Next,135.8,18
Next,136.041,19
Back,137.577,20
Back,137.765,19
Back,137.934,18
Back,138.126,17
Back,138.318,16
Back,138.541,15
Back,139.171,14
Back,139.62,13
Back,140.113,12
Back,141.074,11
Back,141.689,10
Back,142.234,9
Next,143.133,8
Next,143.343,9
A,144.037,10
Back,144.807,10
Back,145.017,9
B,146.206,8
Back,146.94,8
Next,147.475,7
Next,148.713,8
B,149.435,9
Next,149.905,9
Next,150.506,10
Next,151.131,11
Back,151.668,12
A,152.314,11
Next,153.089,11
A,153.805,12
B,154.352,12
Next,154.829,12
Next,155.83,13
Next,156.055,14
Next,156.253,15
Next,156.472,16
Next,156.659,17
Next,156.832,18
Next,157.007,19
Back,158.506,20
Back,158.694,19
Back,158.912,18
Back,159.228,17
Back,159.667,16
Next,160.27,15
A,161.29,16
Next,161.766,16
Next,162.007,17
Next,162.226,18
Next,162.412,19
