Nome: a, Idade: 98, Data: 2015_6_29_19_23_14
button, timeStamp, view
B,1.003,1
Next,1.629,1
B,2.339,2
Next,2.623,2
A,3.252,3
Next,3.62,3
B,4.21,4
Next,4.53,4
C,5.123,5
Next,5.448,5
B,5.986,6
Next,6.267,6
B,6.86,7
Next,7.177,7
B,7.672,8
Next,7.959,8
B,8.496,9
Next,8.833,9
C,9.407,10
Next,9.646,10
B,10.155,11
Next,10.436,11
B,10.896,12
Next,11.181,12
A,11.625,13
Next,11.961,13
C,12.402,14
Next,12.709,14
B,13.23,15
Next,13.502,15
C,14.044,16
Next,14.285,16
C,14.87,17
Next,15.123,17
C,15.578,18
B,15.992,18
Next,16.278,18
B,17.021,19
Next,17.26,19
B,17.731,20
