Nome: d, Idade: 1, Data: 2015_6_29_19_35_44
button, timeStamp, view
B,0.852,1
Next,1.296,1
B,2.151,2
Next,2.5,2
B,3.254,3
Next,3.888,3
B,4.556,4
Next,5.123,4
C,5.903,5
B,6.597,5
Next,6.993,5
B,7.702,6
Next,8.09,6
B,8.813,7
Next,9.238,7
B,9.883,8
Next,10.373,8
B,11.087,9
Next,11.522,9
B,12.234,10
Next,12.572,10
B,13.297,11
Next,13.789,11
B,14.443,12
Next,14.819,12
B,15.392,13
Next,15.919,13
B,16.61,14
Next,16.947,14
C,17.656,15
B,18.314,15
Next,18.665,15
C,19.358,16
B,20.054,16
Next,20.472,16
B,21.092,17
Next,21.628,17
B,22.301,18
Next,22.719,18
B,23.374,19
Next,23.927,19
B,24.506,20
