Nome: g, Idade: 31, Data: 2015_6_29_19_25_23
button, timeStamp, view
B,1.113,1
Next,1.397,1
B,1.877,2
Next,2.167,2
A,2.861,3
Next,3.13,3
B,3.628,4
Next,3.951,4
B,4.731,5
Next,5.035,5
B,5.505,6
Next,5.882,6
A,6.188,7
Next,7.277,7
B,7.766,8
Next,8.371,8
B,8.927,9
Next,9.473,9
B,10.002,10
Next,10.361,10
B,10.885,11
Next,11.352,11
B,11.837,12
Next,12.196,12
A,12.691,13
Next,13.138,13
B,13.707,14
Next,14.024,14
B,14.658,15
Next,14.987,15
C,15.522,16
Next,15.876,16
B,16.443,17
Next,16.856,17
B,17.51,18
Next,17.889,18
B,18.443,19
Next,18.847,19
B,19.441,20
