Nome: q, Idade: 1, Data: 2015_6_29_19_37_45
button, timeStamp, view
B,0.903,1
Next,1.532,1
B,2.252,2
Next,2.627,2
B,3.338,3
Next,3.881,3
B,4.498,4
Next,4.834,4
B,5.424,5
Next,5.971,5
B,6.613,6
Next,7.132,6
B,7.83,7
Next,8.356,7
B,8.914,8
Next,9.451,8
B,10.097,9
Next,10.433,9
B,11.049,10
Next,11.484,10
B,12.091,11
Next,12.546,11
B,13.137,12
Next,13.531,12
B,14.138,13
Next,14.526,13
C,15.115,14
B,15.719,14
Next,16.081,14
B,16.767,15
Next,17.182,15
B,17.82,16
Next,18.237,16
B,18.901,17
Next,19.447,17
B,20.105,18
Next,20.643,18
B,21.231,19
Next,21.593,19
B,22.246,20
