Nome: Bebeto, Idade: 45, Data: 2015_7_27_20_20_13
button, timeStamp, view
A,1.086,1
Next,1.401,1
C,1.972,2
Next,2.264,2
Next,3.159,3
B,5.649,4
Back,5.876,4
A,6.589,3
Next,7.066,3
Next,7.722,4
C,8.355,5
Next,8.55,5
A,9.1,6
Next,9.303,6
B,10.012,7
Next,10.197,7
A,10.786,8
Next,11.05,8
Next,11.759,9
C,12.794,10
Back,13.046,10
A,13.783,9
Next,14.347,9
Next,14.91,10
C,15.485,11
Next,15.754,11
B,16.263,12
Next,16.431,12
A,16.927,13
Next,17.097,13
B,17.639,14
Next,17.828,14
C,18.37,15
Next,18.581,15
B,19.179,16
Next,19.367,16
A,19.909,17
Next,20.163,17
C,20.904,18
Next,21.342,18
Next,22.215,19
B,22.923,20
Back,23.285,20
A,23.894,19
Next,24.616,19
