Nome: Brad, Idade: 31, Data: 2015_7_27_20_21_41
button, timeStamp, view
A,0.795,1
Next,1.553,1
C,2.17,2
Next,4.978,2
A,5.768,3
Back,9.443,3
B,10.744,2
Next,11.244,2
Next,12.228,3
C,12.871,4
Next,13.133,4
B,13.935,5
Next,15.24,5
A,15.928,6
Next,19.128,6
A,19.8,7
Back,22.153,7
C,22.909,6
Next,23.288,6
Next,25.821,7
A,26.41,8
Next,26.63,8
C,27.22,9
Next,27.481,9
A,28.193,10
Next,28.431,10
C,29.084,11
Next,29.492,11
A,30.072,12
Next,30.287,12
B,30.901,13
Next,31.128,13
C,31.693,14
Next,31.915,14
A,32.585,15
Next,32.789,15
C,33.426,16
Next,33.651,16
A,34.172,17
Next,34.394,17
B,34.965,18
Next,35.347,18
A,36.265,19
Next,36.788,19
C,37.527,20
Back,42.849,20
B,44.32,19
Next,44.884,19
