Nome: Caco, Idade: 31, Data: 2015_7_27_20_52_11
button, timeStamp, view
Next,1.195,1
Next,1.553,2
Next,3.163,3
A,4.26,4
Back,4.849,4
B,6.448,3
Back,6.868,3
B,8.294,2
Back,8.89,2
A,9.619,1
Next,10.226,1
Back,10.592,2
Next,11.139,1
Next,12.255,2
Next,12.804,3
Next,13.758,4
C,14.376,5
Next,14.793,5
A,15.361,6
Next,15.594,6
A,16.176,7
Next,16.406,7
B,17.012,8
Next,17.482,8
A,18.081,9
Next,18.303,9
B,18.886,10
Next,19.136,10
C,19.688,11
Next,19.948,11
A,20.512,12
Next,20.83,12
B,21.357,13
Next,21.706,13
C,22.245,14
Next,22.514,14
A,23.115,15
Next,23.346,15
B,23.926,16
Next,24.108,16
A,24.692,17
Next,25.133,17
B,25.707,18
Next,26.046,18
C,26.686,19
Next,27.0,19
A,27.592,20
