Nome: Hiago, Idade: 28, Data: 2015_7_27_22_56_10
button, timeStamp, view
A,0.993,1
Next,1.653,1
C,2.27,2
Back,4.903,2
B,5.495,1
Next,6.022,1
Next,7.172,2
A,8.087,3
Next,8.806,3
C,9.366,4
Back,9.831,4
Back,10.426,3
B,11.328,2
Next,12.114,2
Next,16.384,3
B,18.945,4
Back,19.409,4
B,20.159,3
Next,21.816,3
Next,22.628,4
C,23.238,5
Next,23.698,5
A,24.388,6
Back,25.729,6
B,26.411,5
Back,27.433,5
C,28.358,4
Next,28.643,4
Next,29.713,5
Next,30.406,6
A,30.951,7
Next,31.388,7
A,31.986,8
Back,32.32,8
Back,32.727,7
C,33.56,6
Next,34.054,6
Next,34.986,7
B,36.508,8
Back,36.889,8
B,37.626,7
Next,37.919,7
Next,38.662,8
B,39.379,9
Next,39.762,9
A,40.395,10
Back,42.386,10
C,43.075,9
Next,43.3,9
Next,44.123,10
B,45.383,11
Next,45.906,11
A,46.537,12
Back,47.244,12
C,47.827,11
Next,48.364,11
Next,48.939,12
A,49.504,13
Next,50.067,13
C,50.62,14
Back,51.128,14
Back,51.822,13
C,52.524,12
Next,52.921,12
B,53.652,13
Next,54.001,13
A,54.725,14
Next,54.963,14
Back,56.142,15
Back,56.737,14
C,57.329,13
Next,57.738,13
Next,58.213,14
A,58.894,15
Next,59.095,15
C,59.678,16
Next,60.472,16
A,60.888,17
Back,61.127,17
B,62.055,16
Next,62.553,16
Next,62.96,17
A,64.231,18
Next,64.604,18
B,65.107,19
Back,65.506,19
C,66.201,18
Next,66.735,18
Next,67.589,19
A,68.131,20
