Nome: Ralf, Idade: 36, Data: 2015_7_27_17_6_28
button, timeStamp, view
Next,4.126,1
C,4.805,2
Back,5.738,2
B,6.552,1
Next,8.539,1
Next,10.362,2
A,11.313,3
Next,11.819,3
B,12.399,4
Next,12.805,4
C,13.454,5
Next,13.788,5
B,14.425,6
Next,14.717,6
A,15.301,7
Next,15.569,7
B,16.874,8
Next,17.337,8
B,18.055,9
Next,18.637,9
A,19.305,10
Next,19.813,10
C,20.403,11
Next,20.855,11
A,21.456,12
Next,22.008,12
B,22.559,13
Next,23.127,13
C,23.662,14
Next,24.09,14
B,24.602,15
Next,24.963,15
A,26.237,16
Next,26.754,16
A,27.436,17
Next,27.885,17
C,28.49,18
Next,28.95,18
B,29.479,19
Next,29.89,19
A,30.629,20
