Nome: Rodrigo, Idade: 32, Data: 2015_7_27_17_46_35
button, timeStamp, view
A,2.486,1
Next,4.458,1
C,5.061,2
Next,5.607,2
A,6.372,3
Next,10.339,3
Back,10.836,4
Back,11.352,3
Back,12.286,2
C,13.018,1
Next,14.175,1
Next,14.671,2
Next,15.303,3
C,16.159,4
Next,16.569,4
C,17.131,5
Next,17.64,5
B,18.233,6
Next,18.506,6
A,19.044,7
Next,19.333,7
A,19.919,8
Next,20.326,8
C,20.876,9
Next,21.211,9
B,21.765,10
Next,22.067,10
B,22.592,11
Next,23.206,11
A,23.823,12
Next,24.296,12
B,24.861,13
Next,25.231,13
C,25.768,14
Next,26.029,14
B,26.578,15
Next,26.905,15
A,27.517,16
Next,27.966,16
B,28.588,17
Next,29.044,17
C,29.591,18
Next,29.884,18
A,30.549,19
Next,30.866,19
B,31.487,20
